               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,metrics/zombie_mAP_50,metrics/skeleton_mAP_50,metrics/spider_mAP_50,metrics/creeper_mAP_50,metrics/enderman_mAP_50,metrics/slime_mAP_50
                  24,            0.017928,            0.002833,           0.0041999,             0.99533,             0.99557,               0.995,             0.76987,           0.0078048,          0.00094137,           0.0012059,           0.0025523,           0.0025523,           0.0025523,             0.80524,             0.72101,             0.77105,             0.75499,             0.74631,             0.82062
                  25,            0.018408,           0.0028058,           0.0039625,             0.99488,             0.98657,             0.99482,             0.74969,           0.0082758,          0.00096501,           0.0011659,           0.0025242,           0.0025242,           0.0025242,             0.72996,             0.68581,             0.76562,             0.74468,             0.73771,             0.83434
                  26,            0.018041,           0.0026845,           0.0038591,             0.99732,             0.99658,               0.995,             0.74028,           0.0085176,          0.00091827,           0.0010391,            0.002496,            0.002496,            0.002496,             0.77991,             0.62884,             0.76038,             0.74796,             0.68963,             0.83493
                  27,            0.016949,           0.0026163,           0.0035122,             0.99483,             0.99514,             0.99497,             0.78514,           0.0073994,          0.00090045,           0.0010006,           0.0024678,           0.0024678,           0.0024678,             0.79913,             0.74974,             0.75119,             0.77803,             0.79317,              0.8396
                  28,            0.017485,           0.0026959,            0.003512,             0.99226,             0.98109,             0.99439,             0.71331,           0.0090014,          0.00095915,           0.0010201,           0.0024397,           0.0024397,           0.0024397,             0.62753,             0.66511,             0.69525,             0.69349,              0.7574,             0.84108
                  29,            0.017286,           0.0026125,           0.0032998,             0.99818,             0.99725,               0.995,             0.78869,           0.0070216,          0.00090193,          0.00092791,           0.0024115,           0.0024115,           0.0024115,             0.75401,             0.81011,             0.80626,             0.79255,              0.7293,             0.83991
                  30,            0.017062,            0.002686,           0.0032771,             0.99527,             0.99474,               0.995,             0.75897,           0.0083517,            0.000885,          0.00088613,           0.0023834,           0.0023834,           0.0023834,             0.80144,             0.74654,              0.8046,             0.68019,             0.70384,             0.81719
                  31,            0.016728,             0.00257,           0.0031337,             0.99598,             0.99637,             0.99497,             0.77663,           0.0070522,          0.00086157,          0.00082622,           0.0023552,           0.0023552,           0.0023552,             0.81407,             0.80542,             0.74312,             0.67305,             0.77251,             0.85165
                  32,             0.01673,           0.0025735,            0.003003,             0.99616,             0.99749,             0.99497,             0.74858,           0.0082769,          0.00085528,          0.00078322,            0.002327,            0.002327,            0.002327,             0.77294,             0.70886,             0.78832,             0.70892,             0.68564,             0.82677
                  33,            0.016587,           0.0025834,           0.0029822,             0.99332,             0.99705,             0.99486,             0.74811,           0.0085472,          0.00086133,          0.00078677,           0.0022989,           0.0022989,           0.0022989,              0.7426,             0.79283,             0.75173,             0.64535,             0.77608,              0.7801
                  34,            0.016344,           0.0025716,           0.0028645,             0.99857,             0.99859,               0.995,             0.80221,           0.0067148,          0.00081719,          0.00072207,           0.0022707,           0.0022707,           0.0022707,             0.83424,             0.77556,              0.8032,             0.73034,             0.81092,               0.859
                  35,            0.016185,           0.0025122,           0.0027809,             0.99693,             0.99854,             0.99498,             0.75965,           0.0082217,          0.00082952,          0.00070525,           0.0022426,           0.0022426,           0.0022426,              0.7128,             0.70308,             0.80433,              0.7866,             0.73641,             0.81471
